Timestamp,Roll No,Age,Department,Year of Study,sleep_hours,sleep_consistency,exercise,tired_during_class,study_hours,attendance,assignment_submission,concentration,screen_time,late_phone,social_media_usage,stress_level,overwhelmed,time_management,productivity_score,gpa,How do you rate your academic performance?,lifestyle_score,burnout_risk,digital_addiction_score,productivity_index
26/03/2026 01:28:56,24AD116,19,AI &DS,2nd Year,9.0,2.0,1.0,1.0,6.0,92.0,3.0,2.0,6.0,2.0,3.0,2.0,1.0,2.0,7.0,9.1,Good,2.8500000000000005,4.0,11.0,3.6666666666666665
26/03/2026 09:38:54,24AD125,20,AI &DS,2nd Year,7.0,3.0,2.0,1.0,3.0,94.0,3.0,3.0,5.0,1.0,2.0,1.0,0.0,3.0,6.0,7.82,Good,2.23,2.0,8.0,4.0
26/03/2026 09:39:33,24AD114,19,AI &DS,2nd Year,7.0,2.0,1.0,2.0,4.0,100.0,3.0,2.0,4.3,1.0,2.0,2.0,1.0,3.0,9.0,8.0,Good,2.5350000000000006,5.0,7.3,4.666666666666666
26/03/2026 09:41:12,24AD124,19,AI &DS,2nd Year,7.0,3.0,2.0,1.0,2.0,86.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,7.0,7.7,Good,2.3500000000000005,4.0,5.0,3.6666666666666665
26/03/2026 09:41:47,24ad077@kpriet.ac.in,19,AI &DS,2nd Year,7.0,2.0,0.0,1.0,3.0,96.21,3.0,2.0,6.0,1.0,2.0,2.0,1.0,3.0,9.0,8.52,Good,2.0000000000000004,4.0,9.0,4.666666666666666
26/03/2026 09:43:07,24AD066,19,AI &DS,2nd Year,7.0,1.0,2.0,1.0,4.0,94.3,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,7.0,8.48,Good,2.72,5.0,5.0,3.6666666666666665
26/03/2026 09:43:26,24ad120,19,AI &DS,2nd Year,7.0,2.0,0.0,1.0,1.0,90.0,3.0,2.0,7.0,1.0,3.0,3.0,1.0,1.0,9.0,8.04,Good,1.25,5.0,11.0,4.0
26/03/2026 09:43:58,25ADL01 ,19,AI &DS,2nd Year,7.0,2.0,2.0,1.0,2.0,96.98,3.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,8.0,7.9,Good,2.1500000000000004,4.0,7.0,4.0
26/03/2026 09:49:36,24ad119,19,AI &DS,2nd Year,7.0,2.0,3.0,1.0,2.0,95.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,2.0,5.0,7.85,Good,1.9000000000000004,3.0,8.0,3.0
26/03/2026 11:13:24,22AD065,21,AI &DS,4th Year,4.0,1.0,3.0,2.0,4.0,90.0,3.0,3.0,6.0,2.0,2.0,2.0,1.0,3.0,6.0,7.56,Fair,1.6300000000000001,5.0,10.0,4.0
26/03/2026 11:16:01,22AD004,21,AI &DS,4th Year,8.0,3.0,2.0,1.0,5.0,98.0,3.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,9.0,7.3,Good,3.0500000000000003,3.0,8.0,4.666666666666666
26/03/2026 11:21:30,22AD036,21,AI &DS,4th Year,7.0,2.0,3.0,1.0,2.0,90.0,3.0,3.0,5.0,1.0,2.0,2.0,1.0,3.0,8.0,8.0,Good,2.2000000000000006,4.0,8.0,4.666666666666666
