Timestamp,Roll No ,Age  ,Department  ,Year of Study  ,Average sleep hours per day ,Sleep consistency ,Exercise frequency  ,How often do you feel tired during class?  ,Average study hours per day  ,Attendance Percentage ,Assignment submission behavior  ,Concentration during classes  ,Daily screen time (hours)  ,Late night phone usage  ,Social media usage level  ,Stress level  ,How often do you feel overwhelmed?  ,Time management ability  ,Self Productivity rating  ,Current CGPA  ,How do you rate your academic performance?  
26/03/2026 01:28:56,24AD116,19,AI &DS,2nd Year,9,Somewhat consistent,Rarely,Sometimes,6,92,Always on time,Medium,6,Daily,High,Moderate,Sometimes,Average,7,9.1,Good
26/03/2026 09:38:54,24AD125,20,AI &DS,2nd Year,7,Very consistent,Once/week,Sometimes,3,94,Always on time,High,5,Sometimes,Moderate,Low,Never,Good,6,7.82,Good
26/03/2026 09:39:33,24AD114,19,AI &DS,2nd Year,7,Somewhat consistent,Rarely,Often,4,100,Always on time,Medium,4.3,Sometimes,Moderate,Moderate,Sometimes,Good,9,8,Good
26/03/2026 09:41:12,24AD124,19,AI &DS,2nd Year,7,Very consistent,Once/week,Sometimes,2,86,Always on time,Medium,2,Sometimes,Moderate,Moderate,Sometimes,Average,7,7.7,Good
26/03/2026 09:41:47,24ad077@kpriet.ac.in,19,AI &DS,2nd Year,7,Somewhat consistent,Never,Sometimes,3,96.21,Always on time,Medium,6,Sometimes,Moderate,Moderate,Sometimes,Good,9,8.52,Good
26/03/2026 09:43:07,24AD066,19,AI &DS,2nd Year,7,Irregular,Once/week,Sometimes,4,94.3,Always on time,Medium,2,Sometimes,Moderate,Moderate,Often,Average,7,8.48,Good
26/03/2026 09:43:26,24ad120,19,AI &DS,2nd Year,7,Somewhat consistent,Never,Sometimes,1,90,Always on time,Medium,7,Sometimes,High,High,Sometimes,Poor,9,8.04,Good
26/03/2026 09:43:58,25ADL01 ,19,AI &DS,2nd Year,7,Somewhat consistent,Once/week,Sometimes,2,96.98,Always on time,Medium,4,Sometimes,Moderate,Moderate,Sometimes,Average,8,7.9,Good
26/03/2026 09:49:36,24ad119,19,AI &DS,2nd Year,7,Somewhat consistent,3–4 times/week,Sometimes,2,95,Always on time,Medium,5,Sometimes,Moderate,Low,Sometimes,Average,5,7.85,Good
26/03/2026 11:13:24,22AD065,21,AI &DS,4th Year,4,Irregular,3–4 times/week,Often,4,90,Always on time,High,6,Daily,Moderate,Moderate,Sometimes,Good,6,7.56,Fair
26/03/2026 11:16:01,22AD004,21,AI &DS,4th Year,8,Very consistent,Once/week,Sometimes,5,98,Always on time,Medium,5,Sometimes,Moderate,Low,Sometimes,Good,9,7.3,Good
26/03/2026 11:21:30,22AD036,21,AI &DS,4th Year,7,Somewhat consistent,3–4 times/week,Sometimes,2,90,Always on time,High,5,Sometimes,Moderate,Moderate,Sometimes,Good,8,8,Good
26/03/2026 11:23:30,22AD022,21,AI &DS,4th Year,6,Irregular,3–4 times/week,Sometimes,2,90,Always on time,High,8,Daily,High,Moderate,Sometimes,Average,6,7,Fair
26/03/2026 11:33:12,23adl05 ,21,AI &DS,4th Year,5,Irregular,Once/week,Sometimes,1,100,Always on time,Medium,4,Daily,Moderate,High,Never,Average,5,8,Good
